ns "trace A [ADC]" "trace B [ADC]"
31232 -220.40860215053763 17.806451612903224
31233 -285.0698924731183 -14.602150537634408
31235 -360.86559139784947 -59.02150537634409
31236 -449.5860215053763 -116.61290322580645
31237 -544.4623655913979 -186.45698924731184
31238 -641.983870967742 -269.2258064516129
31240 -740.5860215053764 -361.6774193548387
31241 -833.5430107526881 -459.09139784946234
31242 -925.9247311827957 -559.2096774193549
31243 -1013.9193548387096 -662.0322580645161
31245 -1091.9516129032259 -763.3494623655914
31246 -1161.725806451613 -860.8978494623656
31247 -1223.532258064516 -952.8817204301075
31248 -1274.4408602150538 -1036.994623655914
31250 -1320.279569892473 -1111.5376344086021
31251 -1359.52688172043 -1176.4462365591398
31252 -1392.3387096774193 -1231.9569892473119
31253 -1421.1881720430108 -1279.9516129032259
31255 -1445.8655913978494 -1321.4086021505377
31256 -1465.6075268817203 -1357.3225806451612
31257 -1485.016129032258 -1387.5913978494623
31258 -1501.6774193548388 -1413.6344086021506
31260 -1512.6612903225807 -1435.736559139785
31261 -1522.747311827957 -1455.4193548387098
31262 -1532.8978494623657 -1471.8655913978494
31263 -1540.4032258064517 -1484.252688172043
31265 -1548.9139784946237 -1494.516129032258
31266 -1557.4623655913979 -1505.241935483871
31267 -1567.2096774193549 -1514.5913978494623
31268 -1576.779569892473 -1524.6505376344087
31270 -1586.8494623655913 -1534.758064516129
31271 -1597.741935483871 -1545.1935483870968
31272 -1610.494623655914 -1556.731182795699
31273 -1620.983870967742 -1569.3924731182797
31275 -1630.731182795699 -1581.8440860215053
31276 -1640.3817204301076 -1594.505376344086
31277 -1649.252688172043 -1606.521505376344
31278 -1657.715053763441 -1617.225806451613
31280 -1665.8225806451612 -1627.1881720430108
31281 -1671.3010752688172 -1635.5860215053763
31282 -1675.5483870967741 -1642.6774193548388
31283 -1678.6021505376343 -1648.8548387096773
31285 -1681.0376344086021 -1654.1989247311828
31286 -1682.032258064516 -1659.02688172043
31287 -1683.8010752688172 -1663.0967741935483
31288 -1685.9032258064517 -1667.467741935484
31290 -1687.8064516129032 -1670.521505376344
31291 -1688.8387096774193 -1673.489247311828
31292 -1691.6344086021506 -1676.0752688172042
31293 -1694.8924731182797 -1678.3978494623657
31295 -1698.0483870967741 -1680.252688172043
31296 -1701.8870967741937 -1681.9139784946237
31297 -1705.9354838709678 -1684.4408602150538
31298 -1709.1129032258063 -1687.0698924731182
31300 -1711.9569892473119 -1689.1559139784947
31301 -1715.4301075268818 -1691.4301075268818
31302 -1719.0967741935483 -1694.0376344086021
31303 -1723.4516129032259 -1696.6612903225807
31305 -1728.274193548387 -1699.8225806451612
31306 -1732.6559139784947 -1702.994623655914
31307 -1737.978494623656 -1705.8494623655913
31308 -1741.6290322580646 -1708.741935483871
31310 -1744.016129032258 -1712.3225806451612
31311 -1747.52688172043 -1715.4139784946237
31312 -1751.483870967742 -1718.9139784946237
31313 -1754.010752688172 -1721.6505376344087
31315 -1755.8064516129032 -1724.8387096774193
31316 -1758.6129032258063 -1728.1397849462367
31317 -1760.989247311828 -1731.6021505376343
31318 -1762.1881720430108 -1734.9516129032259
31320 -1764.494623655914 -1737.758064516129
31321 -1766.3279569892472 -1740.4301075268818
31322 -1766.5967741935483 -1743.1075268817203
31323 -1767.274193548387 -1745.6720430107528
31325 -1768.9354838709678 -1747.6666666666667
31326 -1770.3817204301076 -1749.9247311827958
31327 -1772.6451612903227 -1751.5860215053763
31328 -1772.9086021505377 -1753.467741935484
31330 -1774.3064516129032 -1754.994623655914
31331 -1777.7956989247311 -1756.1666666666667
31332 -1779.97311827957 -1757.8602150537633
31333 -1780.3924731182797 -1759.3440860215053
31335 -1781.241935483871 -1760.4032258064517
31336 -1781.9193548387098 -1761.8709677419354
31337 -1783.8978494623657 -1762.6129032258063
31338 -1784.5537634408602 -1763.467741935484
31340 -1785.3440860215053 -1764.7043010752689
31341 -1786.8118279569892 -1766.1236559139784
31342 -1788.8010752688172 -1767.6935483870968
31343 -1789.5752688172042 -1769.768817204301
31345 -1791.220430107527 -1771.1505376344087
31346 -1793.0913978494623 -1772.720430107527
31347 -1794.258064516129 -1774.715053763441
31348 -1794.6129032258063 -1775.9354838709678
31350 -1795.2096774193549 -1777.3655913978494
31351 -1796.978494623656 -1778.989247311828
31352 -1798.1344086021506 -1779.5537634408602
31353 -1797.9301075268818 -1780.6559139784947
31355 -1799.0591397849462 -1782.3172043010752
31356 -1799.0376344086021 -1783.8870967741937
31357 -1799.7956989247311 -1784.9032258064517
31358 -1801.4247311827958 -1785.978494623656
31360 -1802.763440860215 -1787.231182795699
31361 -1803.3333333333333 -1788.5645161290322
31362 -1804.9462365591398 -1790.532258064516
31363 -1806.483870967742 -1792.3440860215053
31365 -1807.2956989247311 -1794.3655913978494
31366 -1808.3010752688172 -1796.5483870967741
31367 -1809.1075268817203 -1798.3602150537633
31368 -1808.731182795699 -1800.1666666666667
31370 -1808.231182795699 -1802.02688172043
31371 -1807.6505376344087 -1803.8602150537633
31372 -1808.4301075268818 -1805.4354838709678
31373 -1806.9193548387098 -1806.989247311828
31375 -1805.9086021505377 -1808.2043010752689
31376 -1805.8010752688172 -1808.8225806451612
31377 -1805.478494623656 -1809.8333333333333
31378 -1806.236559139785 -1810.779569892473
31380 -1805.8655913978494 -1811.1129032258063
31381 -1803.8279569892472 -1811.6559139784947
31382 -1803.6290322580646 -1812.231182795699
31383 -1803.005376344086 -1812.47311827957
