
# Curve 0 of 1, 601 points
# Curve title: "'pulseshape_2_12543.dat' u ($1-6220):($2+1860)*5"
# x y type
 NaN  NaN  u
 25318  118.2  i
 25320  119.85  i
 25321  119.05  i
 25322  120  i
 25323  117.6  i
 25325  118.25  i
 25326  117.1  i
 25327  119.65  i
 25328  122.2  i
 25330  121.15  i
 25331  119.15  i
 25332  118.95  i
 25333  118.2  i
 25335  117.25  i
 25336  114.7  i
 25337  113.75  i
 25338  110.85  i
 25340  108.75  i
 25341  105.2  i
 25342  102.4  i
 25343  98.5  i
 25345  94.95  i
 25346  90.45  i
 25347  89.2  i
 25348  87.9  i
 25350  86.9  i
 25351  85.65  i
 25352  88  i
 25353  88.2  i
 25355  89  i
 25356  86  i
 25357  84.5  i
 25358  83.65  i
 25360  85.1  i
 25361  82.15  i
 25362  81.85  i
 25363  81.3  i
 25365  81.1  i
 25366  80.2  i
 25367  79.95  i
 25368  77.3  i
 25370  77.25  i
 25371  75.85  i
 25372  75.7  i
 25373  73.8  i
 25375  72.25  i
 25376  71.35  i
 25377  72.6  i
 25378  72.7  i
 25380  73.35  i
 25381  70.65  i
 25382  71.35  i
 25383  70.3  i
 25385  70.2  i
 25386  68.75  i
 25387  69.7  i
 25388  68.1  i
 25390  67.4  i
 25391  65.35  i
 25392  65.5  i
 25393  65.4  i
 25395  65.5  i
 25396  63.6  i
 25397  64.75  i
 25398  65.15  i
 25400  66.95  i
 25401  66.5  i
 25402  64.95  i
 25403  62.7  i

