#time   b1   b2   b3
-49.790000   0.000000   0.000000   0.000000
-49.760000   0.000000   0.000000   0.000000
-49.720000   0.000000   0.000000   0.000000
-49.680000   0.000000   0.000000   0.000000
-49.640000   0.000000   0.000000   0.000000
-49.590000   0.000000   0.000000   0.000000
-49.550000   0.000000   0.000000   0.000000
-49.500000   0.000000   0.000000   0.000000
-49.450000   0.000000   0.000000   0.000000
-49.400000   0.000000   0.000000   0.000000
-49.340000   0.000000   0.000000   0.000000
-49.280000   0.000000   0.000000   0.000000
-49.220000   0.000000   0.000000   0.000000
-49.160000   0.000000   0.000000   0.000000
-49.090000   0.000000   0.000000   0.000000
-49.020000   0.000000   0.000000   0.000000
-48.940000   0.000000   0.000000   0.000000
-48.860000   0.000000   0.000000   0.000000
-48.770000   0.000000   0.000000   0.000000
-48.690000   0.000000   0.000000   0.000000
-48.590000   0.000000   0.000000   0.000000
-48.490000   0.000000   0.000000   0.000000
-48.380000   0.000000   0.000000   0.000000
-48.270000   0.000000   0.000000   0.000000
-48.150000   0.000000   0.000000   0.000000
-48.020000   0.000000   0.000000   0.000000
-47.880000   0.000000   0.000000   0.000000
-47.740000   0.000000   0.000000   0.000000
-47.570000   0.000000   0.000000   0.000000
-47.410000   0.000000   0.000000   0.000000
-47.210000   0.000000   0.000000   0.000000
-47.020000   0.000000   0.000000   0.000000
-46.790000   0.000000   0.000000   0.000000
-46.570000   0.000000   0.000000   0.000000
-46.290000   0.000000   0.000000   0.000000
-46.010000   0.000000   0.000000   0.000000
-45.670000   0.000000   0.000000   0.000000
-45.290000   0.000000   0.000000   0.000000
-44.830000   0.000000   0.000000   0.000000
-44.290000   0.000000   0.000000   0.000000
-43.660000   0.000000   0.000000   0.000000
-43.040000   0.000000   0.000000   0.000000
-42.410000   0.000000   0.000000   0.000000
-41.780000   0.000000   0.000000   0.000000
-41.080000   0.000000   0.000000   0.000000
-39.900000   0.000000   0.000000   0.000000
-38.720000   0.000000   0.000000   0.000000
-37.770000   0.000000   0.000000   0.000000
-36.810000   0.000000   0.000000   0.000000
-35.860000   0.000000   0.000000   0.000000
-34.900000   0.000000   0.000000   0.000000
-34.130000   0.000000   0.000000   0.000000
-33.480000   0.000000   0.000000   0.000000
-32.830000   0.000000   0.000000   0.000000
-32.170000   0.000000   0.000000   0.000000
-31.520000   0.000000   0.000000   0.000000
-30.870000   0.000000   0.000000   0.000000
-29.980000   0.000000   0.000000   0.000000
-28.820000   0.000000   0.000000   0.000000
-27.660000   0.000000   0.000000   0.000000
-26.360000   0.000000   0.000000   0.000000
-25.060000   0.000000   0.000000   0.000000
-24.240000   0.000000   0.000000   0.000000
-23.580000   0.000000   0.000000   0.000000
-22.920000   0.000000   0.000000   0.000000
-22.260000   0.000000   0.000000   0.000000
-21.600000   0.000000   0.000000   0.000000
-20.940000   0.000000   0.000000   0.000000
-19.950000   0.000000   0.000000   0.000000
-18.730000   0.000000   0.000000   0.000000
-17.510000   0.000000   0.000000   0.000000
-16.290000   0.000000   0.000000   0.000000
-14.930000   0.000000   0.000000   0.000000
-13.570000   0.000000   0.000000   0.000000
-12.200000   0.000000   0.000000   0.000000
-12.130000   0.000000   0.000000   0.000000
-12.130000   0.000000   0.000000   0.000000
-12.130000   0.000000   0.000000   0.000000
-12.130000   0.000000   0.000000   0.000000
-12.130000   0.000000   0.000000   0.000000
-12.120000   0.000000   0.000000   0.000000
-12.120000   0.000000   0.000000   0.000000
-12.120000   0.000000   0.000000   0.000000
-12.120000   0.000000   0.000000   0.000000
-12.120000   0.000000   0.000000   0.000000
-12.110000   0.000000   0.000000   0.000000
-12.110000   0.000000   0.000000   0.000000
-12.110000   0.000000   0.000000   0.000000
-12.100000   0.000000   0.000000   0.000000
-12.100000   0.000000   0.000000   0.000000
-12.090000   0.000000   0.000000   0.000000
-12.090000   0.000000   0.000000   0.000000
-12.080000   0.000000   0.000000   0.000000
-12.080000   0.000000   0.000000   0.000000
-12.070000   0.000000   0.000000   0.000000
-12.070000   0.000000   0.000000   0.000000
-12.060000   0.000000   0.000000   0.000000
-12.050000   0.000000   0.000000   0.000000
-12.040000   0.000000   0.000000   0.000000
-12.030000   0.000000   0.000000   0.000000
-12.020000   0.000000   0.000000   0.000000
-12.010000   0.000000   0.000000   0.000000
-12.000000   0.000000   0.000000   0.000000
-11.990000   0.000000   0.000000   0.000000
-11.980000   0.000000   0.000000   0.000000
-11.970000   0.000000   0.000000   0.000000
-11.960000   0.000000   0.000000   0.000000
-11.950000   0.000000   0.000000   0.000000
-11.930000   0.000000   0.000000   0.000000
-11.920000   0.000000   0.000000   0.000000
-11.900000   0.000000   0.000000   0.000000
-11.890000   0.000000   0.000000   0.000000
-11.870000   0.000000   0.000000   0.000000
-11.860000   0.000000   0.000000   0.000000
-11.840000   0.000000   0.000000   0.000000
-11.820000   0.000000   0.000000   0.000000
-11.810000   0.000000   0.000000   0.000000
-11.790000   0.000000   0.000000   0.000000
-11.770000   0.000000   0.000000   0.000000
-11.750000   0.000000   0.000000   0.000000
-11.730000   0.000000   0.000000   0.000000
-11.720000   0.000000   0.000000   0.000000
-11.700000   0.000000   0.000000   0.000000
-11.680000   0.000000   0.000000   0.000000
-11.660000   0.000000   0.000000   0.000000
-11.640000   0.000000   0.000000   0.000000
-11.620000   0.000000   0.000000   0.000000
-11.610000   0.000000   0.000000   0.000000
-11.590000   0.000000   0.000000   0.000000
-11.570000   0.000000   0.000000   0.000000
-11.550000   0.000000   0.000000   0.000000
-11.530000   0.000000   0.000000   0.000000
-11.510000   0.000000   0.000000   0.000000
-11.490000   0.000000   0.000000   0.000000
-11.460000   0.000000   0.000000   0.000000
-11.440000   0.000000   0.000000   0.000000
-11.420000   0.000000   0.000000   0.000000
-11.400000   0.000000   0.000000   0.000000
-11.370000   0.000000   0.000000   0.000000
-11.350000   0.000000   0.000000   0.000000
-11.320000   0.000000   0.000000   0.000000
-11.300000   0.000000   0.000000   0.000000
-11.270000   0.000000   0.000000   0.000000
-11.240000   0.000000   0.000000   0.000000
-11.210000   0.000000   0.000000   0.000000
-11.190000   0.000000   0.000000   0.000000
-11.160000   0.000000   0.000000   0.000000
-11.130000   0.000000   0.000000   0.000000
-11.100000   0.000000   0.000000   0.000000
-11.070000   0.000000   0.000000   0.000000
-11.030000   0.000000   0.000000   0.000000
-11.000000   0.000000   0.000000   0.000000
-10.960000   0.000000   0.000000   0.000000
-10.930000   0.000000   0.000000   0.000000
-10.890000   0.000000   0.000000   0.000000
-10.860000   0.000000   0.000000   0.000000
-10.830000   0.000000   0.000000   0.000000
-10.790000   0.000000   0.000000   0.000000
-10.760000   0.000000   0.000000   0.000000
-10.720000   0.000000   0.000000   0.000000
-10.690000   0.000000   0.000000   0.000000
-10.660000   0.000000   0.000000   0.000000
-10.620000   0.000000   0.000000   0.000000
-10.580000   0.000000   0.000000   0.000000
-10.550000   0.000000   0.000000   0.000000
-10.510000   0.000000   0.000000   0.000000
-10.470000   0.000000   0.000000   0.000000
-10.430000   0.000000   0.000000   0.000000
-10.400000   0.000000   0.000000   0.000000
-10.350000   0.000000   0.000000   0.000000
-10.310000   0.000000   0.000000   0.000000
-10.270000   0.000000   0.000000   0.000000
-10.230000   0.000000   0.000000   0.000000
-10.190000   0.000000   0.000000   0.000000
-10.140000   0.000000   0.000000   0.000000
-10.100000   0.000000   0.000000   0.000000
-10.050000   0.000000   0.000000   0.000000
-10.000000   0.000000   0.000000   0.000000
-9.960000   0.000000   0.000000   0.000000
-9.910000   0.000000   0.000000   0.000000
-9.860000   0.000000   0.000000   0.000000
-9.800000   0.000000   0.000000   0.000000
-9.750000   0.000000   0.000000   0.000000
-9.700000   0.000000   0.000000   0.000000
-9.650000   0.000000   0.000000   0.000000
-9.590000   0.000000   0.000000   0.000000
-9.530000   0.000000   0.000000   0.000000
-9.480000   0.000000   0.000000   0.000000
-9.420000   0.000000   0.000000   0.000000
-9.350000   0.000000   0.000000   0.000000
-9.290000   0.000000   0.000000   0.000000
-9.230000   0.000000   0.000000   0.000000
-9.160000   0.000000   0.000000   0.000000
-9.100000   0.000000   0.000000   0.000000
-9.030000   0.000000   0.000000   0.000000
-8.960000   0.000000   0.000000   0.000000
-8.890000   0.000000   0.000000   0.000000
-8.820000   0.000000   0.000000   0.000000
-8.750000   0.000000   0.000000   0.000000
-8.670000   0.000000   0.000000   0.000000
